strategy,timing,aum,observations,first_signal_date,last_valuation_date,median_trade_pct_adv,p95_trade_pct_adv,max_trade_pct_adv,pct_trades_gt_1pct_adv,pct_trades_gt_5pct_adv,pct_trades_gt_10pct_adv,estimated_cost_bps,annualized_turnover,diagnostic_sharpe,diagnostic_cagr,constant_10bps_sharpe,capacity_flag
momentum_max_sharpe,same_close_diagnostic,50000000.0,51,2021-08-31,2025-11-28,0.0018993682657592083,0.01861893270736541,0.02984849138909176,0.20875420875420875,0.0,0.0,13.843422033045096,6.337233324765531,1.0321767918581801,0.22339915835381507,1.0794656384309045,within_largest_tested_limit_not_execution_assurance
momentum_max_sharpe,same_close_diagnostic,100000000.0,51,2021-08-31,2025-11-28,0.0037987365315184166,0.03723786541473082,0.05969698277818352,0.3569023569023569,0.016835016835016835,0.0,17.430691035701386,6.337233324765531,1.0122808310693123,0.2182071917113375,1.0794656384309045,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,next_session_open,100000.0,51,2021-08-31,2025-12-01,3.772021691594965e-06,4.029576207081811e-05,5.969698277818352e-05,0.0,0.0,0.0,5.618016821241444,6.359076095565545,0.920844708954291,0.1368224702251577,0.9231501855151866,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,next_session_open,1000000.0,51,2021-08-31,2025-12-01,3.7720216915949644e-05,0.00040295762070818115,0.0005969698277818352,0.0,0.0,0.0,6.5193102768674,6.359076095565545,0.9135708506456827,0.13560039746856756,0.9231501855151866,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,next_session_open,10000000.0,51,2021-08-31,2025-12-01,0.0003772021691594965,0.004029576207081811,0.0059696982778183515,0.0,0.0,0.0,9.369450436849325,6.359076095565545,0.8905782948647236,0.13174354768480567,0.9231501855151866,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,next_session_open,50000000.0,51,2021-08-31,2025-12-01,0.0018860108457974822,0.020147881035409057,0.02984849138909176,0.2070063694267516,0.0,0.0,14.521702616815059,6.359076095565545,0.8490529246087553,0.12480099444388704,0.9231501855151866,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,next_session_open,100000000.0,51,2021-08-31,2025-12-01,0.0037720216915949644,0.040295762070818114,0.05969698277818352,0.34394904458598724,0.01910828025477707,0.0,18.3823849931089,6.359076095565545,0.817972557797807,0.119623648632881,0.9231501855151866,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,same_close_diagnostic,100000.0,51,2021-08-31,2025-11-28,3.7871776433506914e-06,4.052209407863314e-05,5.969698277818352e-05,0.0,0.0,0.0,5.613901842392307,6.354729391484036,0.8991661492322174,0.13680090042570403,0.9014014938875237,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,same_close_diagnostic,1000000.0,51,2021-08-31,2025-11-28,3.7871776433506915e-05,0.0004052209407863314,0.0005969698277818352,0.0,0.0,0.0,6.514129888789713,6.354729391484036,0.8921332813814159,0.13558082768213553,0.9014014938875237,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,same_close_diagnostic,10000000.0,51,2021-08-31,2025-11-28,0.0003787177643350692,0.0040522094078633145,0.0059696982778183515,0.0,0.0,0.0,9.360900928969262,6.354729391484036,0.8698994179538425,0.13173027779214963,0.9014014938875237,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,same_close_diagnostic,50000000.0,51,2021-08-31,2025-11-28,0.0018935888216753457,0.02026104703931657,0.02984849138909176,0.2070063694267516,0.0,0.0,14.50706268745675,6.354729391484036,0.8297323188537968,0.12479901812207994,0.9014014938875237,within_largest_tested_limit_not_execution_assurance
momentum_min_vol,same_close_diagnostic,100000000.0,51,2021-08-31,2025-11-28,0.0037871776433506914,0.04052209407863314,0.05969698277818352,0.34394904458598724,0.01910828025477707,0.0,18.363181392943346,6.354729391484036,0.7996583751234608,0.11963005517931258,0.9014014938875237,within_largest_tested_limit_not_execution_assurance
