strategy,date,signal_date,observations,assets,covariance_condition_number,minimum_eigenvalue,maximum_eigenvalue,covariance_rank,average_pairwise_correlation,maximum_pairwise_correlation,minimum_pairwise_correlation,minimum_expected_return,maximum_expected_return,expected_return_dispersion,optimization_status,objective_result,fallback_indicator
momentum_max_sharpe,2018-06-29,2018-05-31,251,5,13.782796718833188,0.010020088780058037,0.1381048467602008,5.0,0.4052788442251809,0.6846930439969977,0.11323775962966123,0.047041756519279554,0.6394599319114602,0.24293433280424392,optimized,,False
momentum_max_sharpe,2018-07-31,2018-06-29,251,5,14.119823138944657,0.01576448305045804,0.22259171254935836,5.0,0.3948263427339743,0.6146892130509419,0.2194853162957447,-0.05180270465167691,0.7599350314253117,0.3173464635589979,optimized,,False
momentum_max_sharpe,2018-08-31,2018-07-31,251,5,14.314577272811757,0.011250728628949392,0.1610494243345317,5.0,0.4620169675360571,0.7621910931883128,0.11109786483461899,0.022782014798226946,0.7883584417702374,0.2837196632192635,optimized,,False
momentum_max_sharpe,2018-09-28,2018-08-31,251,5,6.775399833717604,0.015252781259881045,0.10334369161192898,5.0,0.281054345001414,0.47627993560944737,0.07100833165978407,-0.07345406373483576,1.0633822249886031,0.4153772075847538,optimized,,False
momentum_max_sharpe,2018-10-31,2018-09-28,251,5,22.751268957670234,0.009734753261422086,0.22147798968717114,5.0,0.5824429030339623,0.7419362754785636,0.47582580861968077,0.43770723865789796,1.0896306648518697,0.2620990148681806,optimized,,False
momentum_max_sharpe,2018-11-30,2018-10-31,251,5,15.431432346910952,0.021189086499472157,0.3269779548094485,5.0,0.26596535828767653,0.4277707443712531,0.12793594271811493,0.050785917305036676,0.4228819181030532,0.16651308029808765,optimized,,False
momentum_max_sharpe,2018-12-31,2018-11-30,251,5,54.092259401684295,0.005994220565257123,0.3242409337267992,5.0,0.3479294954766828,0.7413112059125886,0.09536190997662454,0.07064826806222424,0.2585524476370258,0.07437228709875567,optimized,,False
momentum_max_sharpe,2019-01-31,2018-12-31,251,5,53.469888744992865,0.00656947003382518,0.3512688318221969,5.0,0.40785182705988754,0.7408439492171983,0.14427630732356095,-0.04831589699922345,0.06917730330082161,0.056098011366291674,optimized,,False
momentum_max_sharpe,2019-02-28,2019-01-31,251,5,18.391773615978757,0.017709581307873437,0.3257106102481775,5.0,0.4562580815140505,0.8009045156633875,0.12366579674893646,-0.1084912477418577,0.25740470726332854,0.16228949931688372,optimized,,False
momentum_max_sharpe,2019-03-29,2019-02-28,251,5,36.29595089531098,0.006746398047551936,0.2448669322541657,5.0,0.43859941416229964,0.893137210317426,0.08372150537183634,-0.0949633761840365,0.30105618100046416,0.17181859245089434,optimized,,False
momentum_max_sharpe,2019-04-30,2019-03-29,251,5,21.092385992862713,0.018889895311414683,0.39843296327312633,5.0,0.49064247408691164,0.7196201054996829,0.30761925439277144,-0.22296120001278874,0.3533251128016559,0.20893180463857008,optimized,,False
momentum_max_sharpe,2019-05-31,2019-04-30,251,5,57.190777800144595,0.006760596443908437,0.3866437690200152,5.0,0.6818221698394809,0.881235996535143,0.5072048188656689,-0.19331007844870884,0.4361327338875438,0.25678518879110573,optimized,,False
momentum_max_sharpe,2019-06-28,2019-05-31,251,5,16.639052201517202,0.01310058877496947,0.21798138049732838,5.0,0.390872166555139,0.802219735246491,0.10517831705885175,-0.07490265200291402,0.3316545997429361,0.16578692368284811,optimized,,False
momentum_max_sharpe,2019-07-31,2019-06-28,251,5,16.714409979499717,0.013776324325139712,0.23026313278093968,5.0,0.4246321809090941,0.8032190908022757,0.10583795895508512,-0.01652510952456554,0.3820360876790503,0.17600692672048107,optimized,,False
momentum_max_sharpe,2019-08-30,2019-07-31,251,5,5.647272835927853,0.01693802577830927,0.09565365287209168,5.0,0.3283033190008993,0.500709249101551,0.19681616205793417,0.16703899092091978,0.5065898141343754,0.12470198061099104,optimized,,False
momentum_max_sharpe,2019-09-30,2019-08-30,251,5,20.961519266730587,0.021516207184810492,0.4510123914513722,5.0,0.4069182114025499,0.5740874944692592,0.24123772094425308,-0.3957293874094586,0.2910710287871563,0.2855586545160984,optimized,,False
momentum_max_sharpe,2019-10-31,2019-09-30,251,5,8.978801988820516,0.021699715599881233,0.1948374495850531,5.0,0.4181224951472484,0.6502407945283069,0.2201427832318175,0.007585296961583943,0.5428318384081638,0.21999839728159998,optimized,,False
momentum_max_sharpe,2019-11-29,2019-10-31,251,5,17.02643093078233,0.023885381744496136,0.4066828025280327,5.0,0.3732245927436792,0.5644934073320038,0.1685266651249254,-0.06666135019766228,0.3712297475630759,0.17686707609577532,optimized,,False
momentum_max_sharpe,2019-12-31,2019-11-29,251,5,15.164933228621482,0.023978396015372473,0.36363077450256703,5.0,0.3843886283124588,0.632904726103329,0.17209935970141105,-0.033045094234827155,0.513292897049987,0.23069337799305858,optimized,,False
momentum_max_sharpe,2020-01-31,2019-12-31,251,5,13.443236572858453,0.022972262738483795,0.3088215626072988,5.0,0.31327722776310546,0.5853424603740482,0.03976667445245339,0.22878202943988257,0.8922067668674616,0.2755892355269128,optimized,,False
momentum_max_sharpe,2020-02-28,2020-01-31,251,5,36.61502866948189,0.0082131790222626,0.3007257853677321,5.0,0.47838995488010533,0.7724424275797166,0.22816582192132778,0.48792721210162937,1.0898617423420038,0.23424228171927503,optimized,,False
momentum_max_sharpe,2020-03-31,2020-02-28,251,5,31.584713630136406,0.013372858143137592,0.422377894867438,5.0,0.48760696400514514,0.6752637283759003,0.28117738762243405,0.12736285270638348,1.273382854047882,0.47203192529904014,optimized,,False
momentum_max_sharpe,2020-04-30,2020-03-31,251,5,36.945435362713674,0.02019361341575916,0.746061839191557,5.0,0.5699097790732462,0.7956249285329263,0.2413979958795403,0.07513902023070207,0.837367087815901,0.2921771431114097,optimized,,False
momentum_max_sharpe,2020-05-29,2020-04-30,251,5,25.267646543777424,0.03243751254323702,0.8196196017018602,5.0,0.4828175226074828,0.6706706237883882,0.14026778278487947,0.2258423151869624,2.21800389065116,0.8467258399523834,optimized,,False
momentum_max_sharpe,2020-06-30,2020-05-29,251,5,23.72933634142078,0.03748894592275629,0.88958780688642,5.0,0.5577683878328984,0.720194656649378,0.3718802147388637,0.2695286983000267,3.5367562987531045,1.416888690172751,optimized,,False
