,momentum_3m_equal,momentum_12_1_equal,momentum_max_sharpe,momentum_min_vol,ml,benchmark
2023-01-31,0.012424626215753506,-0.030250261054692296,-0.016283343316897014,-0.01895104989095131,0.05475190368959059,0.0617528578346791
2023-02-28,0.05996192579847978,-0.02956345353002108,0.059561925798479784,-0.016303415399068263,-0.048153276588964865,-0.02611249393181858
2023-03-31,0.069934095526668,0.026790760529900436,0.012558756722062829,-0.0018639258471985537,0.10175552557586487,0.03505161257710898
2023-04-28,-0.005450496610843411,0.04899948665231383,-0.005838974355638161,0.01604191195227397,0.03240279579919041,0.014642341662481018
2023-05-31,0.1070787706559059,0.01644977215607412,0.14547729894136516,0.016760315038646823,0.0526803536890532,0.002482347368192972
2023-06-30,0.058513614000837856,0.06854927472970332,0.07849224747289926,0.020026037595557784,0.05692278279158093,0.06472746490423464
2023-07-31,0.04946733143517709,0.06091913483870244,0.07356103194352316,0.015185122765355944,0.0858360170646122,0.031138932355010862
2023-08-31,0.0014577911611732904,-0.018237648333391587,-0.0011008563051884944,0.018026668041408164,-0.016988453928437515,-0.017716390070854016
2023-09-29,-0.07114330790764062,-0.04787334361745476,-0.08128780315803695,-0.06478925384225,-0.04122008704419085,-0.048719367465624885
2023-10-31,-0.054697563852034115,-0.03898222188927085,-0.07002790957941889,-0.033225938798213464,-0.04533401488543465,-0.02197968873798295
2023-11-30,0.036466821850949384,0.10389508327130126,0.03536864674227412,0.002869189354473677,0.057615993150594284,0.08917926878197013
2023-12-29,0.05109084720328131,0.045464755699034,0.03402732860009027,0.048582740965296245,0.018640536245224326,0.04422923115636013
2024-01-31,0.05279620473067143,0.035211223161245433,0.06813099801368176,0.045004621070298914,0.035010125751669334,0.015895707598991615
2024-02-29,0.1517916384642308,0.16045730161310237,0.21560290764289725,0.0747229812789702,0.15693909539935771,0.05172064062372317
2024-03-28,0.03297536155484456,0.05188709377020424,0.034640482923294455,0.012580192803119469,0.026888032985105895,0.031018779915342964
2024-04-30,-0.06508275050674724,-0.04772701431805503,-0.06289177410335069,-0.0625949915521024,-0.0037172771347380724,-0.04161507173789869
2024-05-31,0.07822422642311239,0.10787646554024284,0.11408904347418056,0.032654506756752924,0.05535195939834597,0.0480211901511991
2024-06-28,0.0385125835460722,0.0701824760872687,0.03689573033377787,0.01767927222984135,0.04589153350285813,0.03466980128308328
2024-07-31,-0.015288245649240745,-0.02880237140421848,-0.02663037559418552,0.0037226713789554095,0.010060534213476236,0.011321316887868749
2024-08-30,0.02514556981599642,0.021915909625749002,0.06415562279998593,0.0674075421952028,0.011335304556026833,0.022834706936630367
2024-09-30,0.056801178063025225,0.018155071672569183,0.022079102754060262,0.018333823415916557,0.037612474778795944,0.020196884090601275
2024-10-31,-0.010690790562634814,0.028692634655316268,0.010374639885632446,0.0020364952246192756,-0.017714417457977392,-0.009896743303151712
2024-11-29,0.033072729427440925,0.08407652114287388,0.015431857944828774,0.04512793761059887,0.1292415565815889,0.057301295482098835
