strategy,start_date,date,observations,annual_return,annual_volatility,sharpe,max_drawdown,annual_active_return,tracking_error,information_ratio
momentum_max_sharpe,2020-12-31,2022-11-30,24,0.2282173055996639,0.20376101353111925,1.1143311239676605,-0.15072488090419667,0.15099021733354773,0.13924841185792441,1.0843227245392464
momentum_max_sharpe,2021-01-29,2022-12-30,24,0.17822891890908932,0.20033316594474057,0.9193456785940329,-0.15072488090419667,0.1561548750791347,0.14043307896748014,1.111952228258808
momentum_max_sharpe,2021-02-26,2023-01-31,24,0.14325425386837853,0.20030194105681384,0.766947385404043,-0.15072488090419678,0.08915573537859207,0.15064488561842554,0.5918271636809377
momentum_max_sharpe,2021-03-31,2023-02-28,24,0.18211729515452557,0.2022683493462096,0.9288768635441652,-0.15072488090419667,0.14951904798331017,0.15693840717562604,0.952724388339095
momentum_max_sharpe,2021-04-30,2023-03-31,24,0.18372334059324236,0.20223627571798586,0.9358126825224866,-0.15072488090419678,0.15458543970938116,0.15557729710983775,0.9936246649165248
momentum_max_sharpe,2021-05-28,2023-04-28,24,0.1355264010378514,0.19699270274535613,0.7419717194029518,-0.15072488090419656,0.13038467223472078,0.15689530331442036,0.8310297980904379
momentum_max_sharpe,2021-06-30,2023-05-31,24,0.21237662435544813,0.2182169519628038,0.9920005046721958,-0.15072488090419678,0.20219505499525103,0.18222916198818775,1.1095647523658012
momentum_max_sharpe,2021-07-30,2023-06-30,24,0.2228876677931586,0.22044937204027865,1.0238242558824642,-0.15072488090419667,0.19016841513981614,0.18157769221891573,1.047311554717543
momentum_max_sharpe,2021-08-31,2023-07-31,24,0.26735382018202225,0.2232698165728915,1.1766364405387253,-0.15072488090419667,0.22297896433967151,0.18013843084827963,1.237820065877414
momentum_max_sharpe,2021-09-30,2023-08-31,24,0.21752025275659181,0.2192425092107502,1.0079493932939598,-0.15072488090419667,0.20461031939397767,0.17830235016223717,1.1475469572207144
momentum_max_sharpe,2021-10-29,2023-09-29,24,0.19728780672186463,0.22537099524682758,0.9110722591630146,-0.15072488090419667,0.18952932637196274,0.18127048300754628,1.0455608835337666
momentum_max_sharpe,2021-11-30,2023-10-31,24,0.10700906122178666,0.22716061408174262,0.5564157085612735,-0.15072488090419667,0.15615756119342,0.1867733444622483,0.8360805533735219
momentum_max_sharpe,2021-12-31,2023-11-30,24,0.10833558137745292,0.2272945231900909,0.5615365464584625,-0.15072488090419656,0.10863952124964166,0.19131766246703574,0.5678488846703339
momentum_max_sharpe,2022-01-31,2023-12-29,24,0.12945455074485324,0.22759674056808826,0.6449479594410641,-0.15072488090419667,0.12748523422623323,0.18727799836147685,0.6807272362029739
momentum_max_sharpe,2022-02-28,2024-01-31,24,0.22441769275819712,0.21749771796510592,1.0410105818285982,-0.15072488090419645,0.17287417043346198,0.18583888194180803,0.9302368192658104
momentum_max_sharpe,2022-03-31,2024-02-29,24,0.3215820966655476,0.25795309211310447,1.2114788203354894,-0.15072488090419667,0.21742088595847453,0.2100440610866363,1.0351203687153787
momentum_max_sharpe,2022-04-29,2024-03-28,24,0.2970901801265875,0.25561781559579966,1.1453973745775203,-0.15072488090419667,0.20007740733017038,0.20973629193736204,0.9539474808199798
momentum_max_sharpe,2022-05-31,2024-04-30,24,0.28036039877211416,0.25933657605670535,1.0814490269817123,-0.15072488090419656,0.16458190025557126,0.20990846212545006,0.7840651043272865
momentum_max_sharpe,2022-06-30,2024-05-31,24,0.3164713022250014,0.26643360233156993,1.1657677682741148,-0.15072488090419667,0.17073831217830854,0.2113097350304268,0.8080002189852903
momentum_max_sharpe,2022-07-29,2024-06-28,24,0.4015861781551917,0.25354693650605065,1.4658267420154443,-0.14656384378760934,0.17249958547320715,0.21118935515002948,0.8168005690943227
momentum_max_sharpe,2022-08-31,2024-07-31,24,0.367807268771976,0.2567567662330763,1.3527240509063545,-0.14656384378760945,0.18806229592413976,0.20585170536785766,0.9135814327506873
momentum_max_sharpe,2022-09-30,2024-08-30,24,0.42803054513578,0.25486622908487183,1.5351292419515585,-0.14656384378760945,0.19935642645701396,0.20664506636375013,0.9647287010767233
momentum_max_sharpe,2022-10-31,2024-09-30,24,0.4967127562543878,0.24369033323065095,1.793581012894621,-0.14656384378760956,0.18838590205942338,0.20682797187551993,0.910833773358296
momentum_max_sharpe,2022-11-30,2024-10-31,24,0.41125177644698274,0.2327514870194902,1.6070387001287287,-0.14656384378760934,0.17022827307387517,0.20466508881785286,0.8317406454472278
momentum_max_sharpe,2022-12-30,2024-11-29,24,0.40988915577167795,0.2328162540324449,1.6023743116964784,-0.14656384378760956,0.1674722096632335,0.20541105811789126,0.8153027942980383
momentum_max_sharpe,2023-01-31,2024-12-31,24,0.38160652103619164,0.2380598497353463,1.4845163501894723,-0.14656384378760956,0.13082649559888915,0.2054803660039266,0.6366861133408197
momentum_max_sharpe,2023-02-28,2025-01-31,24,0.45758004115133444,0.2398877317518586,1.704901195331167,-0.14656384378760934,0.20377591374926224,0.19830590327164352,1.0275836996648848
momentum_max_sharpe,2023-03-31,2025-02-28,24,0.40244119756965313,0.2419665629907384,1.527735106872399,-0.14656384378760934,0.15851664549444228,0.1921813933411836,0.8248282663505534
momentum_max_sharpe,2023-04-28,2025-03-31,24,0.3698176526226773,0.24600455221072526,1.408025404550233,-0.14656384378760945,0.18153464680118694,0.19046857950708707,0.9530949790825329
momentum_max_sharpe,2023-05-31,2025-04-30,24,0.35545052303071034,0.24796097627645897,1.3550851230921082,-0.14656384378760956,0.18229586021749175,0.1903230653481256,0.9578232668964686
momentum_max_sharpe,2023-06-30,2025-05-30,24,0.2788038593778883,0.23232872202217347,1.1753445228805501,-0.14656384378760934,0.08983318170817156,0.16929223313789993,0.5306397112441442
momentum_max_sharpe,2023-07-31,2025-06-30,24,0.2076835325138986,0.23236689577120806,0.924202761079674,-0.14656384378760934,0.039081330145094774,0.18206136952135102,0.21466020083141005
momentum_max_sharpe,2023-08-31,2025-07-31,24,0.18651696957227037,0.22917985550606979,0.8556736407267236,-0.14656384378760945,0.02516654974411972,0.17998955940643474,0.13982227539815845
momentum_max_sharpe,2023-09-29,2025-08-29,24,0.17706997328443586,0.23008100669051607,0.8178929420431102,-0.1456232978079952,-0.001146397310581828,0.1816142205536458,-0.006312266226108663
momentum_max_sharpe,2023-10-31,2025-09-30,24,0.27022133483265676,0.22151058736136506,1.1907506617735246,-0.09541727656761478,0.032414322367295884,0.181554329398538,0.17853786508247763
momentum_max_sharpe,2023-11-30,2025-10-31,24,0.35329000411584666,0.21188746542995052,1.541242203771453,-0.0954172765676149,0.07288706772625944,0.17874987715584761,0.4077600996766616
momentum_max_sharpe,2023-12-29,2025-11-28,24,0.37021848023716997,0.21320830760613488,1.5928200542602668,-0.09541727656761478,0.12985945695304751,0.17698310214810214,0.7337392970114126
momentum_max_sharpe,2024-01-31,2025-12-31,24,0.3438061320251731,0.21447882876925428,1.4913483557864298,-0.095417276567615,0.1324963202885678,0.17669530748658643,0.7498576061428573
momentum_min_vol,2018-09-28,2020-08-31,24,0.31479156471704717,0.2220485628139972,1.3485270076299622,-0.14442532198399916,0.18449569127810894,0.12598115964797463,1.4644704953791479
momentum_min_vol,2018-10-31,2020-09-30,24,0.24938053008975336,0.23794269330789883,1.0547423828782088,-0.14367796216933237,0.15778657944848995,0.13580506201508408,1.1618608106888118
momentum_min_vol,2018-11-30,2020-10-30,24,0.28780930596879295,0.2295571586468046,1.2195720702270794,-0.11014951891966707,0.1659110503906292,0.1353285530036255,1.2259870271884483
momentum_min_vol,2018-12-31,2020-11-30,24,0.3537357420841807,0.233785036258971,1.4201806749054084,-0.11014951891966707,0.1731234023668109,0.13346393933922548,1.2971548961010573
momentum_min_vol,2019-01-31,2020-12-31,24,0.39358055011669113,0.22484764146808026,1.6002093253352223,-0.11014951891966707,0.1364605275598415,0.14110815840014665,0.9670633442247493
momentum_min_vol,2019-02-28,2021-01-29,24,0.3905943829349803,0.22491282600445484,1.5899840180507467,-0.11014951891966707,0.17917556491533598,0.13350168600149642,1.342122113074494
momentum_min_vol,2019-03-29,2021-02-26,24,0.44980942851344463,0.23159816375468265,1.7356664778251683,-0.11014951891966718,0.22536365425173033,0.1404826969202838,1.6042093381764428
momentum_min_vol,2019-04-30,2021-03-31,24,0.43016920176409235,0.23139603755003374,1.6761157427841071,-0.11014951891966707,0.19897583831054944,0.14277286294554753,1.393653066874741
momentum_min_vol,2019-05-31,2021-04-30,24,0.4521959670992013,0.2336196228949751,1.7297333300674005,-0.11014951891966707,0.20867303371738083,0.14281729037303736,1.4611188405292446
momentum_min_vol,2019-06-28,2021-05-28,24,0.4842965758596156,0.22774162100962417,1.8678228064510163,-0.11014951891966707,0.19432226911934392,0.14418892060755067,1.347692099369027
momentum_min_vol,2019-07-31,2021-06-30,24,0.4388563323843613,0.2278984078289246,1.7256439988763927,-0.11014951891966707,0.18557087245911538,0.14597377190386887,1.2712617481811952
momentum_min_vol,2019-08-30,2021-07-30,24,0.4314391977562979,0.22832843069758219,1.6994281294079236,-0.11014951891966707,0.17551715917597038,0.14728711782940537,1.1916667374757262
momentum_min_vol,2019-09-30,2021-08-31,24,0.44960266794245185,0.22940842980717607,1.7491785868879803,-0.11014951891966718,0.16522469262725697,0.14500011598628063,1.1394797273327002
momentum_min_vol,2019-10-31,2021-09-30,24,0.40471632534660507,0.236182113735563,1.5681055601768106,-0.11014951891966696,0.16668203868645942,0.1448389231822868,1.1508097065640426
momentum_min_vol,2019-11-29,2021-10-29,24,0.46254897155553576,0.24103739902674978,1.7136219993200397,-0.11014951891966707,0.18501450961107113,0.14473430449473076,1.2783044783816735
momentum_min_vol,2019-12-31,2021-11-30,24,0.4681858780516084,0.24101863267097046,1.7302503698149196,-0.11014951891966707,0.21018047024080588,0.1454894282456065,1.4446442794866978
momentum_min_vol,2020-01-31,2021-12-31,24,0.4564801599011923,0.24041453590719183,1.6996056824937003,-0.11014951891966718,0.1942562560333546,0.1457161203940015,1.3331143836941686
