strategy,date,number_nonzero_holdings,maximum_weight,top_2_weight,top_3_weight,hhi,effective_holdings,entropy,turnover,l1_target_weight_change,optimization_status,fallback_indicator
momentum_min_vol,2018-03-29,5,0.4,0.6839938399383995,0.8564865648656488,0.2910020603121061,3.4364017867346988,1.3057665932741989,0.7693347893468161,1.5535967235353598,optimized,False
momentum_min_vol,2018-04-30,4,0.4,0.8,0.9638700000000001,0.34815875380000005,2.8722529279687463,1.1493957045435759,0.419814627287812,0.8407151297512976,optimized,False
momentum_min_vol,2018-05-31,5,0.36663,0.61484,0.8145500000000001,0.25312780760000003,3.9505734651651916,1.4763662226621963,0.61484,1.22968,optimized,False
momentum_min_vol,2018-06-29,4,0.4,0.66581,0.8741000000000001,0.2898904902,3.4495784918990764,1.3063762979595823,0.48579042736543837,0.9919,optimized,False
momentum_min_vol,2018-07-31,5,0.4,0.8,0.8974200000000001,0.3387231718000001,2.9522633325790073,1.2183202476835442,0.6361654599126865,1.2766800000000003,optimized,False
momentum_min_vol,2018-08-31,5,0.4,0.7032440324403244,0.8319763197631976,0.28351688980944456,3.527126728400954,1.4031724572155022,0.9006626659502839,1.8083,optimized,False
momentum_min_vol,2018-09-28,5,0.4,0.65594,0.7987500000000001,0.26700154220000005,3.745296719113856,1.4511407775256182,0.746051214449118,1.5045959021590218,optimized,False
momentum_min_vol,2018-10-31,4,0.39999600003999963,0.7895221047789522,0.9082309176908231,0.33424073305191493,2.9918555732842953,1.205938126778969,0.7665886972994319,1.5308418353816464,optimized,False
momentum_min_vol,2018-11-30,5,0.3999960000399996,0.7055729442705573,0.9042909570904292,0.3013972213254338,3.3178806214681376,1.2891258000709351,0.8012819871801282,1.6025639743602564,optimized,False
momentum_min_vol,2018-12-31,5,0.4,0.62155,0.84257,0.27918548140000005,3.5818481497870605,1.3679160197976143,0.7754303657595091,1.5511800677993222,optimized,False
momentum_min_vol,2019-01-31,5,0.4,0.6423434234342345,0.8274562745627457,0.27939248052167126,3.5791943939680735,1.364760097571733,0.2620011610603671,0.5184120895208952,optimized,False
momentum_min_vol,2019-02-28,4,0.4,0.8,0.9582900000000001,0.3467954482000001,2.8835441906471937,1.1573260042599598,0.8091404774541026,1.6297742977429777,optimized,False
