strategy,removed_ticker,start_date,end_date,observations,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,annual_active_return,tracking_error,information_ratio,beta,annual_alpha,baseline_annual_return,baseline_sharpe,baseline_max_drawdown,baseline_information_ratio,annual_return_delta,sharpe_delta,max_drawdown_delta,information_ratio_delta
momentum_12_1_equal,NVDA,2018-09-28,2025-12-31,88,0.21638886155560244,0.22422268944588258,0.9876585148847612,1.971349305244449,-0.18002056037237646,1.2020230417458837,0.08957697474530767,0.1363593040075982,0.6569186855069036,1.052912286186567,0.0825989832021842,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.08679379610030091,-0.22162547887375394,0.027613083665803173,-0.42031114324155383
ml,NVDA,2018-09-28,2025-12-31,88,0.20554850008486003,0.22598356217299037,0.94200711829599,1.7684148248361595,-0.18406679372161427,1.1167060387640317,0.08099965046856165,0.12816146905086767,0.6320125000784178,1.1045919722200916,0.06720622080920044,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,-0.10270880197290855,-0.3488933029895108,0.014555701823052991,-0.6138081937168127
momentum_3m_equal,PEP,2018-09-28,2025-12-31,88,0.3377533681003495,0.24184672224058282,1.3316685634185152,2.8845508368734163,-0.21255760553473857,1.5889968615832475,0.19018120345731393,0.1758327420571346,1.0816028984835881,0.9811974462224391,0.19266085555146692,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.002664430265922224,-0.006402854092130594,-0.006906308613374379,-0.027975886998128363
momentum_12_1_equal,PEP,2018-09-28,2025-12-31,88,0.30608974313979154,0.2455969038030457,1.2156626961371848,2.6040669403269203,-0.20763364403817974,1.4741818194141392,0.1666845205238756,0.15224699081571705,1.094829655619493,1.1481430781122757,0.14714763749079707,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,0.0029070854838881832,0.006378702378669665,-1.1102230246251565e-16,0.017599826871035562
ml,PEP,2018-09-28,2025-12-31,88,0.36845824650011005,0.23079520329123507,1.4855237320455101,3.502089200481006,-0.24784568488630965,1.486643782679239,0.21097327801511798,0.1351577983492683,1.5609404754428666,1.1107976664442152,0.19636145087312948,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.060200944442341475,0.19462331076000927,-0.04922318934164238,0.3151197816476361
momentum_3m_equal,PG,2018-09-28,2025-12-31,88,0.327560128895505,0.24295968628364836,1.294392719614269,2.779547428843392,-0.23079860869193514,1.4192465489803927,0.18260677536904146,0.1757961257956281,1.0387417500959668,0.9908387381660786,0.18381494859701425,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.01285766947076672,-0.043678697896376795,-0.025147311770570946,-0.0708370353857497
momentum_12_1_equal,PG,2018-09-28,2025-12-31,88,0.303251183052929,0.24531278878599397,1.207731939435687,2.5821390437571603,-0.20763364403817963,1.4605108168171783,0.1643936164526058,0.15355730722888417,1.0705685025302611,1.138715960640508,0.14609996728324803,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,6.852539702562055e-05,-0.0015520543228282335,0.0,-0.006661326218196262
ml,PG,2018-09-28,2025-12-31,88,0.31027141669064884,0.21649043068467413,1.3656417321165262,2.8387164765369715,-0.2331214782092823,1.3309430734310375,0.1637698930305914,0.12948448840955423,1.2647838752128655,1.0253367746671238,0.1604285178585978,0.3082573020577686,1.2909004212855009,-0.19862249554466727,1.2458206937952305,0.0020141146328802595,0.07474131083102531,-0.03449898266461504,0.018963181417634978
momentum_3m_equal,TSLA,2018-09-28,2025-12-31,88,0.26236670136264273,0.1975769060189082,1.2872507585112123,2.3971857323601746,-0.19720158423932377,1.3304492576704383,0.12245254842085838,0.1386808494496553,0.882980951636814,0.8456231301690986,0.14281153439125444,0.34041779836627173,1.3380714175106458,-0.2056512969213642,1.1095787854817165,-0.078051097003629,-0.050820658999433554,0.008449712682040422,-0.2265978338449025
momentum_12_1_equal,TSLA,2018-09-28,2025-12-31,88,0.23730227331686815,0.1951568062720712,1.196159622705639,2.225982788329167,-0.19295816279847255,1.229812047727201,0.1015602180425585,0.1142601397864741,0.8888508121235554,0.9368365750831842,0.10989011411528096,0.30318265765590335,1.2092839937585151,-0.20763364403817963,1.0772298287484574,-0.0658803843390352,-0.013124371052876116,0.014675481239707078,-0.18837901662490197
