date,rank_ic,top_n_hit_rate,top_n_spread,rolling_12m_mean_rank_ic,rolling_12m_positive_ic_fraction,rolling_12m_top_n_hit_rate,rolling_12m_top_n_spread
2024-08-30,0.33533834586466166,0.6,0.011935606591976611,0.09781745835379464,0.5,0.55,0.007277141874706408
2024-09-30,-0.019548872180451125,0.4,-0.014025160525940212,0.08666457614828087,0.4166666666666667,0.5666666666666668,0.007636613816242335
2024-10-31,0.1533834586466165,0.8,0.059756154470757966,0.11059941324101269,0.5,0.6,0.013614334894482083
2024-11-29,-0.06466165413533834,0.4,0.011868379888123453,0.1206244758976543,0.5,0.6166666666666666,0.015879623530252494
2024-12-31,0.3684210526315789,0.6,0.006799823514213585,0.12024853604803022,0.5,0.5833333333333334,0.01568524733806805
2025-01-31,-0.20751879699248119,0.6,-0.007970739333774679,0.05420843579740367,0.4166666666666667,0.5666666666666667,0.007124896626884629
2025-02-28,-0.12481203007518797,0.2,-0.036831980467275066,0.04856933805304276,0.4166666666666667,0.55,0.003799373870598217
2025-03-31,-0.12481203007518797,0.2,-0.013935002744196581,0.036413949581864814,0.3333333333333333,0.5,0.0008459477334657959
2025-04-30,0.35037593984962395,0.4,-0.010954081977442368,0.037844611528822035,0.3333333333333333,0.5,-0.0008525873370501721
2025-05-30,0.22406015037593985,0.4,0.017372418298183593,0.05776942355889723,0.4166666666666667,0.48333333333333334,-0.0002955840349116315
2025-06-30,0.3789473684210526,0.8,0.03537587698143967,0.10162907268170424,0.5,0.5,0.003804925711519912
2025-07-31,-0.31879699248120297,0.6,0.0011261042123687087,0.07919799498746866,0.5,0.5000000000000001,0.005043116575702891
2025-08-29,-0.1789473684210526,0.6,0.015253793863379335,0.03634085213032579,0.4166666666666667,0.5,0.005319632181653117
2025-09-30,-0.06616541353383458,0.2,-0.021872178435450418,0.032456140350877176,0.4166666666666667,0.48333333333333334,0.004665714022527267
2025-10-31,0.11729323308270674,0.8,0.025027595859179748,0.029448621553884696,0.4166666666666667,0.48333333333333334,0.0017716674715624158
2025-11-28,0.18045112781954886,0.8,0.023250059515153104,0.04987468671679196,0.5,0.5166666666666667,0.0027201407738148865
